Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,Harry Potter and the Prisoner of Azkaban,2004,Q102448
,,,,,,,,Harry Potter and the Half-Blood Prince,2009,Q161687
,,,,,,,,Harry Potter and the Chamber of Secrets,2002,Q102244
,,,,,,,,Harry Potter and the Order of the Phoenix,2007,Q102235
,,,,,,,,The Batman vs. Dracula,2005,Q1990704
,,,,,,,,The Ballad of Nessie,2011,Q751173
,,,,,,,,Escape from Planet Earth,2013,Q1658594
,,,,,,,,The Hunchback of Notre Dame II,2002,Q1193937
,,,,,,,,The Hunchback of Notre Dame,1996,Q213787
,,,,,,,,The Grinch,2018,Q15632949
,,,,,,,,The Smurfs,2011,Q454398
,,,,,,,,הדרך אל מלכות השמיים זרועה סכנות (2018),2018,
,,,,,,,,Jingle Jangle: A Christmas Journey,2020,Q65091103
,,,,,,,,Hop,2011,Q753605
,,,,,,,,The Secret Life of Pets,2016,Q18844656
,,,,,,,,The Secret Life of Pets 2,2019,Q28561715
,,,,,,,,Doug's 1st Movie,2000,Q2625713
,,,,,,,,The Sword in the Stone,1997,Q204662
,,,,,,,,Puss in Boots,2011,Q324262
,,,,,,,,Lady and the Tramp,1989,Q172284
,,,,,,,,Moomins on the Riviera,2016,Q16729557
,,,,,,,,Minions,2015,Q13619743
,,,,,,,,The King and I,1999,Q467516
,,,,,,,,Homeward Bound: The Incredible Journey,1993,Q230558
,,,,,,,,The Tale of Despereaux,2009,Q840353
,,,,,,,,הנסיכה סופיה הראשונה - הארמון הצף (2014),2014,
,,,,,,,,Sofia the First: Once Upon a Princess,2013,Q11723965
,,,,,,,,Sofia the First: The Curse of Princess Ivy,2015,Q25344796
,,,,,,,,Disney Princess Enchanted Tales: Follow Your Dreams,2012,Q3828818
,,,,,,,,Black Beauty,2003,Q19871369
,,,,,,,,The BFG,2016,Q19689203
,,,,,,,,העיר תיחרב (2018),2018,
,,,,,,,,Help! I'm a Fish,2000,Q142637
,,,,,,,,Early Man,2018,Q25136586
,,,,,,,,The Black Cauldron,2014,Q329316
,,,,,,,,The Boxtrolls,2014,Q12103758
,,,,,,,,The Emperor's New Groove,2001,Q223163
,,,,,,,,Ella Enchanted,2004,Q939325
